DATE,BMW Finanzierung,BMW Leasing,Auto Finanzierung,Auto Leasing
04-10-22,39,58,61,49
04-17-22,63,61,64,53
04-24-22,54,57,54,54
05-01-22,44,55,53,49
05-08-22,53,55,67,52
05-15-22,42,53,61,46
05-22-22,40,58,57,46
05-29-22,53,50,54,47
06-05-22,51,49,68,51
06-12-22,50,52,61,45
06-19-22,71,52,69,48
06-26-22,49,44,64,48
07-03-22,35,50,66,48
07-10-22,44,45,61,42
07-17-22,54,54,58,47
07-24-22,61,47,63,45
07-31-22,48,48,57,45
08-07-22,41,50,71,46
08-14-22,44,49,61,43
08-21-22,51,53,68,45
08-28-22,42,49,62,51
09-04-22,32,44,65,49
09-11-22,64,50,64,45
09-18-22,54,50,67,45
09-25-22,40,46,54,42
10-02-22,46,46,72,42
10-09-22,54,50,60,42
10-16-22,58,47,60,45
10-23-22,74,48,70,45
10-30-22,38,50,66,43
11-06-22,32,50,62,41
11-13-22,64,45,67,41
11-20-22,45,37,55,40
11-27-22,48,36,55,36
12-04-22,34,42,56,35
12-11-22,71,39,59,40
12-18-22,46,44,57,39
12-25-22,55,40,56,41
01-01-23,71,51,71,44
01-08-23,51,51,72,46
01-15-23,67,52,67,45
01-22-23,52,49,72,50
01-29-23,52,53,82,51
02-05-23,44,60,78,46
02-12-23,64,53,83,46
02-19-23,59,52,77,48
02-26-23,62,55,81,46
03-05-23,71,54,76,50
03-12-23,72,57,81,50
03-19-23,70,58,77,48
03-26-23,68,53,77,49
04-02-23,43,52,70,46
04-09-23,66,48,83,52
04-16-23,60,53,79,53
04-23-23,55,52,82,52
04-30-23,53,52,69,44
05-07-23,71,51,78,47
05-14-23,86,49,71,46
05-21-23,65,54,74,44
05-28-23,63,54,81,44
06-04-23,66,51,65,46
06-11-23,74,48,75,45
06-18-23,55,48,76,42
06-25-23,67,49,79,48
07-02-23,73,49,87,48
07-09-23,54,47,73,49
07-16-23,63,47,84,49
07-23-23,50,52,74,47
07-30-23,64,52,83,48
08-06-23,45,56,77,47
08-13-23,77,51,78,53
08-20-23,68,59,77,54
08-27-23,61,54,76,52
09-03-23,34,60,81,68
09-10-23,69,61,81,71
09-17-23,66,61,88,74
09-24-23,59,65,73,66
10-01-23,56,57,71,54
10-08-23,57,58,79,52
10-15-23,87,61,81,56
10-22-23,53,59,80,52
10-29-23,57,56,75,53
11-05-23,46,54,71,53
11-12-23,62,50,80,59
11-19-23,49,52,70,54
11-26-23,51,45,65,47
12-03-23,61,52,73,50
12-10-23,65,54,66,51
12-17-23,58,48,57,45
12-24-23,55,53,71,44
12-31-23,71,46,75,46
01-07-24,56,55,81,55
01-14-24,66,60,88,57
01-21-24,65,61,94,59
01-28-24,70,72,96,57
02-04-24,74,66,97,58
02-11-24,71,65,93,57
02-18-24,99,64,100,60
02-25-24,81,62,85,50
03-03-24,53,64,82,55
03-10-24,80,61,91,58
03-17-24,79,73,87,56
03-24-24,77,66,86,52
03-31-24,94,64,96,52
04-07-24,77,62,90,49
04-14-24,84,64,85,48
04-21-24,68,67,88,58
04-28-24,62,65,75,48
05-05-24,65,60,73,45
05-12-24,98,62,81,49
05-19-24,47,64,71,49
05-26-24,65,58,67,49
06-02-24,70,65,77,47
06-09-24,51,54,85,48
06-16-24,54,55,84,46
06-23-24,53,65,70,46
06-30-24,62,52,66,46
07-07-24,72,62,78,54
07-14-24,56,61,81,47
07-21-24,81,57,78,47
07-28-24,68,58,81,45
08-04-24,73,58,80,50
08-11-24,66,61,86,53
08-18-24,68,63,84,53
08-25-24,94,70,93,52
09-01-24,73,62,81,55
09-08-24,70,66,84,53
09-15-24,48,67,81,54
09-22-24,71,64,70,57
09-29-24,58,59,86,51
10-06-24,78,67,93,52
10-13-24,84,66,81,52
10-20-24,64,70,82,53
10-27-24,72,67,85,53
11-03-24,23,63,82,51
11-10-24,68,63,88,52
11-17-24,57,65,78,50
11-24-24,43,54,84,48
12-01-24,60,51,66,46
12-08-24,57,55,73,44
12-15-24,74,52,64,45
12-22-24,73,65,71,46
12-29-24,85,57,72,46
,,,,
,,,,

