DATE,Beschäftigungsbarometer,Verarbeitendes Gewerbe,Bauhauptgewerbe,Handel,Dienstleistungssektor
2008-12-31,88.9,-32.6,-17.1,-17.7,-9.4
2009-01-31,88.9,-33.7,-19.3,-16.6,-9.0
2009-02-28,88.2,-33.6,-18.7,-17.9,-11.4
2009-03-31,87.5,-40.0,-18.9,-19.9,-10.8
2009-04-30,87.8,-39.9,-19.9,-19.9,-9.3
2009-05-31,88.7,-37.9,-20.5,-18.6,-7.2
2009-06-30,89.8,-34.8,-17.8,-14.7,-5.8
2009-07-31,90.5,-33.6,-15.9,-16.0,-3.5
2009-08-31,91.9,-28.4,-9.3,-12.8,-2.4
2009-09-30,91.1,-29.9,-14.9,-10.8,-4.5
2009-10-31,91.7,-26.2,-14.9,-7.7,-4.5
2009-11-30,91.9,-23.1,-14.3,-8.4,-5.2
2009-12-31,93.4,-18.6,-13.5,-8.7,-1.4
2010-01-31,92.8,-18.8,-16.6,-6.6,-4.0
2010-02-28,93.6,-13.8,-15.2,-9.9,-2.4
2010-03-31,95.4,-12.2,-13.4,-7.9,3.2
2010-04-30,97.0,-7.0,-9.9,-1.9,4.7
2010-05-31,97.1,-5.0,-8.7,-0.6,3.8
2010-06-30,96.5,-3.7,-9.2,-0.7,1.2
2010-07-31,98.3,0.5,-8.3,4.0,4.5
2010-08-31,99.7,2.8,-8.0,4.2,8.7
2010-09-30,99.3,3.3,-7.5,6.2,6.5
2010-10-31,100.6,8.9,-3.8,6.3,8.4
2010-11-30,101.1,9.9,-4.4,7.6,9.8
2010-12-31,101.2,11.3,-4.0,7.3,9.6
2011-01-31,101.5,12.1,-1.7,6.4,10.0
2011-02-28,101.9,13.1,0.2,8.1,10.6
2011-03-31,102.9,14.7,1.0,9.1,13.2
2011-04-30,103.2,14.8,-0.1,8.2,14.7
2011-05-31,102.2,13.8,-0.9,7.4,11.8
2011-06-30,101.9,12.4,0.6,7.3,11.2
2011-07-31,101.8,11.6,-0.5,6.0,11.6
2011-08-31,100.0,6.0,1.3,4.2,7.7
2011-09-30,100.1,7.6,-0.0,4.2,7.5
2011-10-31,100.2,6.0,-4.7,2.3,9.4
2011-11-30,100.0,3.9,-1.4,3.6,8.8
2011-12-31,99.7,2.3,-1.8,3.3,8.6
2012-01-31,100.4,4.0,-0.1,4.4,10.0
2012-02-29,100.2,1.9,-0.3,6.1,9.6
2012-03-31,100.7,1.6,-0.7,4.1,12.2
2012-04-30,100.2,3.6,-1.3,4.2,9.7
2012-05-31,100.6,-1.2,2.1,3.4,12.8
2012-06-30,99.0,-1.5,0.6,3.3,7.2
2012-07-31,98.5,-5.2,-0.7,2.0,7.5
2012-08-31,98.4,-5.7,-2.6,1.2,7.7
2012-09-30,98.0,-8.1,-0.4,-0.8,7.5
2012-10-31,97.0,-10.0,-3.7,-1.7,5.5
2012-11-30,98.2,-6.2,-1.3,-1.4,7.8
2012-12-31,98.7,-6.9,-5.0,-2.7,10.6
2013-01-31,98.3,-5.2,0.5,-2.6,8.0
2013-02-28,98.5,-4.4,-0.3,-2.9,8.6
2013-03-31,98.6,-4.4,-3.3,-2.9,9.2
2013-04-30,98.2,-6.7,-0.5,-3.9,8.7
2013-05-31,98.4,-6.1,0.1,-2.6,8.8
2013-06-30,97.3,-6.4,-0.6,-3.7,5.2
2013-07-31,97.7,-4.0,2.0,-4.0,5.5
2013-08-31,99.1,-2.5,2.5,0.2,8.7
2013-09-30,99.0,0.1,2.2,-0.8,7.5
2013-10-31,99.1,0.1,3.5,0.3,7.5
2013-11-30,99.8,1.6,1.7,-0.4,9.8
2013-12-31,99.6,0.9,-0.6,-0.7,9.6
2014-01-31,99.0,1.6,-1.8,0.4,7.0
2014-02-28,100.3,1.4,-0.1,1.1,11.6
2014-03-31,100.7,2.6,-0.8,3.1,12.2
2014-04-30,100.6,1.2,-2.9,3.1,12.7
2014-05-31,99.7,1.1,-3.8,1.4,9.8
2014-06-30,98.8,-0.3,-2.9,0.3,7.2
2014-07-31,98.6,-0.8,-4.6,-2.0,7.5
2014-08-31,99.0,-2.2,-3.6,-1.8,9.7
2014-09-30,99.0,0.3,-1.8,-2.9,8.5
2014-10-31,98.5,-5.8,-0.1,-3.7,9.4
2014-11-30,97.3,-5.6,-3.2,-2.4,4.8
2014-12-31,98.2,-3.3,-2.2,-4.7,7.6
2015-01-31,98.5,-2.7,-1.9,-2.6,8.0
2015-02-28,98.5,-0.8,-4.6,-2.9,7.6
2015-03-31,99.9,1.5,-3.2,-1.9,11.2
2015-04-30,100.2,2.2,-3.4,0.1,11.7
2015-05-31,100.2,2.3,-5.0,-0.6,11.8
2015-06-30,99.9,1.9,-5.4,-1.7,11.2
2015-07-31,100.5,1.5,-2.3,1.0,12.6
2015-08-31,99.9,-2.1,0.6,1.2,11.7
2015-09-30,99.7,-0.7,-1.6,0.1,10.5
2015-10-31,100.5,-3.7,-0.9,1.3,14.4
2015-11-30,101.0,-1.8,3.8,2.6,14.8
2015-12-31,101.2,-1.6,2.2,2.3,15.6
2016-01-31,101.0,-2.9,-1.1,1.4,16.0
2016-02-28,99.6,-4.1,1.8,0.1,11.6
2016-03-27,99.4,-3.5,2.4,1.1,10.2
2016-04-24,100.4,-2.8,-0.7,2.1,13.7
2016-05-22,100.2,-1.4,3.6,2.4,11.8
2016-06-19,99.9,0.0,7.2,4.3,9.2
2016-07-17,100.7,-0.3,5.7,3.0,12.6
2016-08-14,100.7,0.9,6.8,1.2,12.7
2016-09-11,101.6,2.3,9.9,3.1,14.5
2016-10-09,101.9,3.4,6.4,3.3,15.4
2016-11-06,102.1,3.2,5.7,1.6,16.8
2016-12-04,102.3,3.1,7.9,4.3,16.6
2017-01-01,102.2,4.8,6.4,2.4,16.0
2017-02-28,101.9,6.7,7.0,4.1,13.6
2017-03-31,101.5,5.6,9.1,5.1,12.2
2017-04-30,103.2,8.2,12.4,6.2,16.7
2017-05-31,102.8,9.9,13.0,4.4,14.8
2017-06-30,103.0,10.2,14.6,5.3,15.2
2017-07-31,103.6,11.8,12.9,7.0,16.6
2017-08-31,102.9,12.9,13.3,6.2,13.7
2017-09-30,103.5,11.4,11.1,7.2,16.5
2017-10-31,103.5,13.6,7.6,8.3,15.4
2017-11-30,103.3,13.1,9.6,8.6,14.8
2017-12-31,104.4,15.8,9.6,9.3,17.6
2018-01-01,105.0,14.5,12.7,9.4,20.0
2018-02-28,105.0,12.6,12.2,10.1,20.6
2018-03-27,104.4,12.7,12.0,7.1,19.2
2018-04-24,104.0,14.2,13.5,7.2,16.7
2018-05-21,104.6,12.2,13.3,7.4,19.8
2018-06-18,104.1,13.2,11.0,6.3,18.2
2018-07-15,104.5,11.8,14.2,7.0,19.6
2018-08-11,105.0,9.9,12.8,6.2,22.6
2018-09-10,105.0,12.5,13.1,6.2,21.5
2018-10-07,104.6,9.9,16.9,4.3,21.4
2018-11-04,103.5,10.2,18.4,4.6,16.8
2018-12-01,103.9,8.5,14.5,4.3,19.6
2019-01-01,102.8,3.0,13.9,3.4,18.0
2019-02-28,102.9,2.6,17.2,2.1,18.6
2019-03-27,101.5,-2.3,17.0,3.1,15.2
2019-04-01,101.9,-3.7,13.7,4.2,17.7
2019-05-28,100.7,-4.7,14.5,2.4,13.8
2019-06-27,99.9,-7.9,13.4,-0.7,13.2
2019-07-01,99.7,-12.2,14.8,1.0,13.6
2019-08-28,98.0,-11.2,12.2,-0.8,7.7
2019-09-27,98.8,-12.3,9.9,-0.8,11.5
2019-10-27,98.8,-10.7,11.1,-0.7,10.4
2019-11-26,99.4,-12.9,8.0,-0.4,13.8
2019-12-26,98.9,-15.6,10.7,1.3,12.6
2020-01-01,99.4,-16.3,10.3,0.4,15.0
2020-02-24,98.2,-17.5,10.6,1.1,10.6
2020-03-20,93.5,-19.3,3.8,-7.9,-2.8
2020-04-14,86.8,-28.7,-5.1,-24.9,-18.3
2020-05-09,88.6,-28.5,-3.4,-19.6,-13.2
2020-06-03,92.2,-25.9,2.8,-11.7,-3.8
2020-07-27,93.3,-23.2,1.5,-8.0,-1.4
2020-08-25,95.2,-19.3,2.3,-7.8,3.6
2020-09-23,96.2,-16.1,4.8,-3.9,4.5
2020-10-22,96.7,-11.3,3.5,0.3,3.5
2020-11-20,96.6,-12.9,1.8,-2.4,4.8
2020-12-19,95.6,-10.6,1.9,-1.7,-0.4
2021-01-01,95.1,-10.5,0.7,-8.6,0.0
2021-02-24,94.8,-5.5,-0.0,-7.9,-3.4
2021-03-20,97.6,-1.4,0.6,-3.9,4.2
2021-04-14,98.3,2.2,2.8,0.1,3.7
2021-05-09,100.1,3.7,2.7,3.4,8.8
2021-06-03,103.4,8.0,5.2,7.3,18.2
2021-07-27,102.5,15.6,5.1,10.0,10.6
2021-08-25,103.6,14.6,5.0,8.2,15.7
2021-09-23,104.5,15.0,9.5,8.2,18.5
2021-10-22,104.1,16.1,7.0,9.3,16.4
2021-11-20,103.9,15.1,10.9,8.6,15.8
2021-12-19,103.0,17.4,8.4,6.3,12.6
2022-01-01,102.6,18.3,5.5,5.4,11.0
2022-02-24,104.4,20.4,11.6,8.1,15.6
2022-03-25,101.9,9.5,4.1,3.1,13.2
2022-04-23,102.5,6.2,3.4,4.2,16.7
2022-05-22,103.8,10.8,4.7,2.4,19.8
2022-06-20,102.8,9.0,2.4,2.3,17.2
2022-07-19,101.0,7.5,0.4,-2.0,12.6
2022-08-17,100.9,4.5,2.7,-3.8,13.7
2022-09-15,99.7,3.1,-1.8,-4.8,10.5
2022-10-14,98.2,1.4,-0.1,-4.7,5.5
2022-11-12,99.7,2.1,1.4,-5.4,10.8
2022-12-11,99.4,2.5,-1.0,-1.7,8.6
2023-01-01,100.2,4.1,3.4,-0.6,10.0
2023-02-24,99.5,1.4,0.1,1.1,8.6
2023-03-19,99.7,1.3,1.4,-1.9,10.2
2023-04-24,100.0,-0.8,-0.3,-3.9,12.7
2023-05-30,98.1,-1.2,0.7,-7.6,6.8
2023-06-26,98.2,-4.1,-2.3,-5.7,8.2
2023-07-25,97.0,-7.6,-4.5,-6.0,5.5
2023-08-23,97.0,-7.6,-5.8,-9.8,6.7
2023-09-21,95.9,-9.8,-6.8,-8.8,3.5
2023-10-20,96.3,-13.3,-6.3,-9.7,6.5
2023-11-18,95.9,-11.8,-7.9,-9.4,4.8
2023-12-17,96.6,-12.4,-4.0,-7.7,6.6
2024-01-01,95.6,-12.1,-7.6,-11.6,4.0
2024-02-24,94.9,-13.6,-6.6,-12.9,2.6
2024-03-18,96.4,-8.8,-8.7,-9.9,5.2
2024-04-10,95.9,-12.9,-6.1,-11.8,5.7
2024-05-03,96.2,-11.2,-7.5,-10.6,5.8
2024-06-26,95.8,-10.2,-5.1,-12.7,4.2
2024-07-01,95.3,-10.8,-0.5,-15.0,2.5
2024-08-24,94.7,-14.7,-0.1,-16.8,2.6
2024-09-18,94.0,-17.6,0.4,-17.9,1.5
2024-10-10,93.7,-18.9,-0.3,-16.7,0.5
2024-11-18,93.4,-19.7,-2.0,-16.4,-0.2
2024-12-11,92.5,-22.4,-2.0,-16.7,-2.4
2025-01-03,93.4,-22.3,-3.7,-15.6,1.0
2025-02-18,93.0,-19.6,-4.5,-15.9,-1.4
2025-03-13,92.8,-20.8,-1.8,-12.9,-2.8
2025-04-28,93.9,-16.9,-4.0,-11.8,-0.3
